batsman,runs,balls,minutes,fours,sixes,strike_rate,inning,series
Alex Carey †,5,14,20,1,0,35.71,Australia 2nd Innings,"England vs Australia, 3rd Test at Leeds, Jul 06 2023, The Ashes"
Mitchell Starc ,16,19,25,2,0,84.21,Australia 2nd Innings,"England vs Australia, 3rd Test at Leeds, Jul 06 2023, The Ashes"
Pat Cummins (c),1,8,11,0,0,12.50,Australia 2nd Innings,"England vs Australia, 3rd Test at Leeds, Jul 06 2023, The Ashes"
Todd Murphy ,11,10,37,2,0,110.00,Australia 2nd Innings,"England vs Australia, 3rd Test at Leeds, Jul 06 2023, The Ashes"
Scott Boland ,0,1,11,0,0,0.00,Australia 2nd Innings,"England vs Australia, 3rd Test at Leeds, Jul 06 2023, The Ashes"
Zak Crawley ,44,55,100,5,0,80.00,England 2nd Innings,"England vs Australia, 3rd Test at Leeds, Jul 06 2023, The Ashes"
Ben Duckett ,23,31,46,3,0,74.19,England 2nd Innings,"England vs Australia, 3rd Test at Leeds, Jul 06 2023, The Ashes"
Moeen Ali ,5,15,22,0,0,33.33,England 2nd Innings,"England vs Australia, 3rd Test at Leeds, Jul 06 2023, The Ashes"
Joe Root ,21,33,72,3,0,63.63,England 2nd Innings,"England vs Australia, 3rd Test at Leeds, Jul 06 2023, The Ashes"
Harry Brook ,75,93,139,9,0,80.64,England 2nd Innings,"England vs Australia, 3rd Test at Leeds, Jul 06 2023, The Ashes"
Ben Stokes (c),13,15,25,2,0,86.66,England 2nd Innings,"England vs Australia, 3rd Test at Leeds, Jul 06 2023, The Ashes"
Jonny Bairstow †,5,8,9,1,0,62.50,England 2nd Innings,"England vs Australia, 3rd Test at Leeds, Jul 06 2023, The Ashes"
Chris Woakes ,32,47,75,4,0,68.08,England 2nd Innings,"England vs Australia, 3rd Test at Leeds, Jul 06 2023, The Ashes"
Mark Wood ,16,8,14,1,1,200.00,England 2nd Innings,"England vs Australia, 3rd Test at Leeds, Jul 06 2023, The Ashes"
David Warner ,66,88,14,8,1,75.00,Australia 1st Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Usman Khawaja ,17,70,107,2,0,24.28,Australia 1st Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Marnus Labuschagne ,47,93,157,7,0,50.53,Australia 1st Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Steven Smith ,110,184,317,15,0,59.78,Australia 1st Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Travis Head ,77,73,96,14,0,105.47,Australia 1st Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Cameron Green ,0,3,3,0,0,0.00,Australia 1st Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Alex Carey †,22,43,45,2,0,51.16,Australia 1st Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Mitchell Starc ,6,10,14,1,0,60.00,Australia 1st Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Pat Cummins (c),22,33,64,2,0,66.66,Australia 1st Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Nathan Lyon ,7,13,17,1,0,53.84,Australia 1st Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Josh Hazlewood ,4,6,12,1,0,66.66,Australia 1st Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Zak Crawley ,48,48,81,5,0,100.00,England 1st Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Ben Duckett ,98,134,199,9,0,73.13,England 1st Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Ollie Pope ,42,63,93,4,0,66.66,England 1st Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Joe Root ,10,19,39,0,0,52.63,England 1st Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Harry Brook ,50,68,116,4,0,73.52,England 1st Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Ben Stokes (c),17,58,63,1,0,29.31,England 1st Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Jonny Bairstow †,16,36,58,2,0,44.44,England 1st Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Stuart Broad ,12,24,42,1,0,50.00,England 1st Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Ollie Robinson ,9,10,14,1,0,90.00,England 1st Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Josh Tongue ,1,4,6,0,0,25.00,England 1st Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
James Anderson ,0,1,2,0,0,0.00,England 1st Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Usman Khawaja ,77,187,287,12,0,41.17,Australia 2nd Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
David Warner ,25,76,107,2,0,32.89,Australia 2nd Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Marnus Labuschagne ,30,51,80,5,0,58.82,Australia 2nd Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Steven Smith ,34,62,106,5,0,54.83,Australia 2nd Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Travis Head ,7,16,29,1,0,43.75,Australia 2nd Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Cameron Green ,18,67,116,3,0,26.86,Australia 2nd Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Alex Carey †,21,73,103,3,0,28.76,Australia 2nd Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Mitchell Starc ,15,40,72,1,1,37.50,Australia 2nd Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Pat Cummins (c),11,29,32,2,0,37.93,Australia 2nd Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Josh Hazlewood ,1,3,9,0,0,33.33,Australia 2nd Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Nathan Lyon ,4,13,25,1,0,30.76,Australia 2nd Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Zak Crawley ,3,6,12,0,0,50.00,England 2nd Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Ben Duckett ,83,112,224,9,0,74.10,England 2nd Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Ollie Pope ,3,10,13,0,0,30.00,England 2nd Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Joe Root ,18,35,40,2,0,51.42,England 2nd Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Harry Brook ,4,3,4,1,0,133.33,England 2nd Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Ben Stokes (c),155,214,300,9,9,72.42,England 2nd Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Jonny Bairstow †,10,22,32,2,0,45.45,England 2nd Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Stuart Broad ,11,36,125,2,0,30.55,England 2nd Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Ollie Robinson ,1,6,6,0,0,16.66,England 2nd Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Josh Tongue ,19,26,49,1,0,73.07,England 2nd Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
James Anderson ,3,23,42,0,0,13.04,England 2nd Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Zak Crawley ,61,73,118,7,0,83.56,England 1st Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Ben Duckett ,12,10,18,2,0,120.00,England 1st Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Ollie Pope ,31,44,60,2,0,70.45,England 1st Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Joe Root ,118,152,269,7,4,77.63,England 1st Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Harry Brook ,32,37,45,4,0,86.48,England 1st Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Ben Stokes (c),1,8,6,0,0,12.50,England 1st Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Jonny Bairstow †,78,78,102,12,0,100.00,England 1st Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Moeen Ali ,18,17,19,2,1,105.88,England 1st Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Stuart Broad ,16,21,22,2,0,76.19,England 1st Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Ollie Robinson ,17,31,30,2,0,54.83,England 1st Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
David Warner ,9,27,48,2,0,33.33,Australia 1st Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Usman Khawaja ,141,321,478,14,3,43.92,Australia 1st Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Marnus Labuschagne ,0,1,1,0,0,0.00,Australia 1st Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Steven Smith ,16,59,69,0,0,27.11,Australia 1st Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Travis Head ,50,63,69,8,1,79.36,Australia 1st Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Cameron Green ,38,68,85,4,1,55.88,Australia 1st Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Alex Carey †,66,99,128,10,1,66.66,Australia 1st Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Pat Cummins (c),38,62,91,0,3,61.29,Australia 1st Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Nathan Lyon ,1,6,10,0,0,16.66,Australia 1st Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Scott Boland ,0,5,5,0,0,0.00,Australia 1st Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Josh Hazlewood ,1,1,5,0,0,100.00,Australia 1st Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Zak Crawley ,7,25,49,0,0,28.00,England 2nd Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Ben Duckett ,19,28,46,1,0,67.85,England 2nd Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Ollie Pope ,14,16,42,2,0,87.50,England 2nd Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Joe Root ,46,55,79,5,1,83.63,England 2nd Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Harry Brook ,46,52,81,5,0,88.46,England 2nd Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Ben Stokes (c),43,66,115,5,0,65.15,England 2nd Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Jonny Bairstow †,20,39,58,3,0,51.28,England 2nd Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Moeen Ali ,19,31,42,2,1,61.29,England 2nd Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Ollie Robinson ,27,44,61,2,0,61.36,England 2nd Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Stuart Broad ,10,29,51,0,0,34.48,England 2nd Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
James Anderson ,12,14,18,2,0,85.71,England 2nd Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Usman Khawaja ,65,197,318,7,0,32.99,Australia 2nd Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
David Warner ,36,57,75,4,0,63.15,Australia 2nd Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Marnus Labuschagne ,13,15,20,3,0,86.66,Australia 2nd Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Steven Smith ,6,13,19,1,0,46.15,Australia 2nd Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Scott Boland ,20,40,53,2,0,50.00,Australia 2nd Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Travis Head ,16,24,36,3,0,66.66,Australia 2nd Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Cameron Green ,28,66,75,2,0,42.42,Australia 2nd Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Alex Carey †,20,50,63,2,0,40.00,Australia 2nd Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Pat Cummins (c),44,73,95,4,2,60.27,Australia 2nd Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Nathan Lyon ,16,28,62,2,0,57.14,Australia 2nd Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
